,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
197,0.14034428596496581,0.03935516311641816,0.0,0.0,0.001,"(25,)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 7}",0.8789759725400458,0.8843821510297484,0.8584096109839817,0.9147130927756072,0.9146939400904006,0.8902206777762851,0.02177581060918188,199,0.9036431458548332,0.9145829750028666,0.8667727324848067,0.8936349817688943,0.8944489982437049,0.8946165666710211,0.015851859725110717
198,0.10153465270996094,0.035248949632419264,0.0031242847442626955,0.006248569488525391,0.001,"(25,)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 8}",0.8767829900839055,0.8441361556064073,0.8573321891685737,0.8513847391404274,0.866611123879568,0.859249586313271,0.011452281107253055,226,0.8995492202729046,0.8725579778695104,0.8502124899667468,0.854411855945631,0.8370183313288662,0.8627499750767317,0.02162966305463772
199,0.1697538375854492,0.028806587777631634,0.0,0.0,0.001,"(25,)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 9}",0.8529271548436308,0.7362700228832951,0.841113653699466,0.8273864245767258,0.8448153681146097,0.8204934242567298,0.042928390672998536,239,0.8649721218896915,0.7861268776516455,0.8390702041050337,0.8136066328770784,0.8149855988584082,0.8237522870763714,0.026567551336001013
200,0.15102629661560057,0.046116715759694504,0.003124427795410156,0.006248855590820312,0.001,"(25,)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 10}",0.911832570556827,0.8009057971014493,0.9291857360793289,0.9540910135601011,0.9464538803340229,0.9084694245861937,0.055746715824559194,181,0.9181859878454306,0.8302283998394678,0.9291114837747965,0.9316044208044594,0.940309535059084,0.9098879654646476,0.04045027455125639
201,0.23615245819091796,0.043305409764083404,0.003124237060546875,0.00624847412109375,0.001,"(25,)",11,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 11}",0.9706426392067123,0.9181826849733028,0.967353165522502,0.9781276334942158,0.9420296100513292,0.9552643394879303,0.022162959754980206,134,0.9768034772388489,0.92192695791767,0.9648137398234148,0.9782038065784698,0.932351621709333,0.9548199206535474,0.02330978660425425
202,0.16664738655090333,0.04700147657994103,0.0,0.0,0.001,"(25,)",12,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 12}",0.9094870327993897,0.8637013729977118,0.9281083142639206,0.9464538803340229,0.8764795449321995,0.9048421663562497,0.03095326441340586,184,0.9183991944731109,0.8938643074188739,0.915120470702901,0.9506468582364507,0.8637027995723803,0.9083467260807435,0.02877171368465164
203,0.19424448013305665,0.01593703949991857,0.0062481403350830075,0.007652377849326936,0.001,"(25,)",13,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 13}",0.9575610221205186,0.9651792524790237,0.9651983218916859,0.9694035853826706,0.9803301922929594,0.9675301968788768,0.0074513947523778806,116,0.9681103801169593,0.9719337661965372,0.9741124154340097,0.9572425094973558,0.9746819698184525,0.9692162082126629,0.006415993035900296
204,0.2450253486633301,0.06519038717782213,0.003123950958251953,0.006247901916503906,0.001,"(25,)",14,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 14}",0.9814931350114418,0.9433066361556065,0.983647978642258,0.8808846625296868,0.9945271202022524,0.9567830302043648,0.04169820540203568,130,0.9945390436876506,0.942706541681,0.9860770697167757,0.8609991552602941,0.9939943540843401,0.955663232886012,0.05105833610348853
205,0.13592472076416015,0.031183465522649934,0.0,0.0,0.001,"(25,)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 15}",0.947673531655225,0.9215675057208239,0.8770308924485125,0.9595447406726422,0.9584290967593656,0.932833903879981,0.031082235056781295,156,0.9478754586629977,0.9429734978786837,0.9004826711386308,0.9650793196265963,0.9495503670083805,0.9411922628630578,0.021658984964117473
206,0.12028841972351074,0.05751162094411387,0.0,0.0,0.001,"(25,)",16,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (25,), 'rp__n_components': 16}",0.932418001525553,0.8616418764302058,0.900867658276125,0.9551683521029648,0.9879577491764345,0.9275850843732384,0.04356716986732966,163,0.9511470158238736,0.8987626848985208,0.9072174922600618,0.9503602075100699,0.9808990989443138,0.9376772998873679,0.030504296245997403
